tweet_text,reaction_text,tweet_type,reaction_num
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",The west would rather worry about Kardashian's ass or how men sit on subways.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",I find it cute that the far left is still tweeting about that pipe bomb in Co Springs,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",The EU took Hamas off the terrorist list. Of course the west doesn't fucking care.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","Indeed. Only the suffix, 'phobia' is unjustified, as it implies irrationality.",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",I saw that what a few weeks ago?Cause a genocidial terror group can b reasoned with,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","Well thanks for that rational contribution there, bub.",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","Yeah, that works out real well.  They'll respond with more appeasement, though.",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Western Europe governments are PC to the end.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Ask the Jews of Warsaw how well that worked out.If u can find any,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",The one who truly rules is the one you are not allowed to offend.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Sucks that we have freedom of expression as a human right in the West.We r so horrible,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Freedom of expression is worthless if we are afraid to use it though.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Don't live in silence.Try to show others it's ok to speak your mind,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Exactly. Will fear be the response to this tragedy?,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Bingo. All rights on paper are worthless if you can't exercise them.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",The understatement of the year.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","not from islam for sure, but from stupid fanatics who happened to be muslims",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",You've massively contradicted yourself there,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",what a BS statement dear Chery. Any idea about this question?,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",I forgot Christians aren't illegally invading countries and using drones to kill innocent people,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",This has nothing to do with Christianity. Christians go to church on Sundays and are peaceful.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",I think you'll find that the UK that YOU LIVE IN attacked EXTREMISTS to protect itself,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","""illegally"",""innocent""?  In your view. It a whole new debate. Stay on the current subject..",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","You Got Some Thanks Memes On Your Twitter Man Haha, No Hard Feelings Just Debate :)",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",indeed! Those RADICALS have a plan to change the face of EUROPE!,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",dark? Just funny and some truths regarding Zionism,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","I agree, but, our governments have their responsability. I'm tired about their ""just crazy people"".",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","Dank : slang ; ""an expression for something of high quality."" :)",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",if modern Christians were like modern islam they would not be allowed to show father ted lol islam is bloody nuts,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",indeed! Governments and people should wake up before it is too late.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Yep.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",How?,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","The fanatics are Muslims, The thing they are fanatical bout is Islam. There is a definite link.",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",so many apologists for Islamofascism. All claim that 1000s of attacks have nothing to do with Islam. BS.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",is the issue Islam or the liberals who have allowed this Islam protection in the west?,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",both.,rumours,59
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",": It is common knowledge that Islamists cannot accept satire, when it comes to Islam and its' prophet Mohammad.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",": Police say 11 now dead in ""carnage"" at CHARLIEHEBDO HQ in Paris - follow our coverage.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","$EURUSD 1.1838 RT: Police say 11 now dead in ""carnage"" at CHARLIEHEBDO HQ in Paris :",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","RT: Police say 11 now dead in ""carnage"" at CHARLIEHEBDO HQ in Paris.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Yet totally proper for Christianity and Judaism. Very tolerant these peaceful ones.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",": Within the Christian oriented world, SATIRE is seen as poking fun at the idiosyncrasies of humans. Islamists object to this.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Breaking update:,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",They use any excuse or no excuse at all. They are simply barbarians. Unquenchable bloodlust.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",: Terrorism is used to inflict FEAR and Foreboding into its' victims or targeted populations.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","In the Parisian publisher attack, 11 people have died so far.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",That's quite clear. They riot by the millions over a bloody cartoon. Kill rape destroy. Some god they have,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",It is all about control. And EVERYONE is the victim/target in Islam. BENGHAZI,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",ugh i live in paris,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Awful! Police say 11 now dead in ""carnage"" at CHARLIEHEBDO HQ in Paris   (Cc)",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",They target areas known to have gun control Or just plain blow them up. Bunch of pussies I say,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","There was no ""gun control"" in the 7th Century. They just plain KILL. No reason. Just KILL.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","LOL Agreed. Was speaking of present times. But you're right, any method of mayhem works 4 them",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",ROFLMAO. Thanks. Just spit out my coffee. And I LOVE my ☕️!,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Stay safe!,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","The US should heed this harbinger; warning signs in Paris for months. Sad,sick.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",How are we going to do that with the Muslim Brotherhood in the Oval Office?,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Precisely!! He's setting this all up 4 US. BO is 3 moves ahead of us at all times,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",: How did you arrive at the conclusion that The outlawed Muslim Brotherhood occupies the US White House?,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","""Outlawed""? In the U.S.? You'd better do some research! As for ""how""...THE PAST SIX YEARS. Open your eyes.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",": You are the typical ignorant, racist, dumb, and irrational Ass Hole, that is so commonly recognized.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Hey FUCKER! I spend 18 hours a day on research! DON'T TELL ME ABOUT THE FUCKING MUSLIM BROTHERHOOD! Do some homework...,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",...and/or shut the FUCK UP! I am not interested in your INSANE DEFENSE of the TERRORIST in the Oval Office! BENGHAZI,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Islam frowns on terrorism.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",BULLSHIT! Mohammed said otherwise: Want Koran quotes?,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Don't f*k Islam, f*k IGNORANCE.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",: Islam is a philosophical doctrine. Ignorance is lack of knowledge or the acceptance of it.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","these r extremist blinded&amp; misled, hv nothing to do with God which is the 1 u know",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","We C that daily as they massacre, behead, rape, hang, et al, all who don't abide by koran",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",And that would be islam,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Yeah, well, they both ran the instant they discovered they were not going to indoctrinate me",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",My God is NOT Ur god. You follow Satan and are intent on destroying the world. Fuck off,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",the pagan moon god allah and his pedophile prophet,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Satan is one who speaks your way,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Satan is your God, dictating the deaths of people who draw a cartoon of him, who are homosexual, women who R Raped",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","apparently you r a total ignorat of what Islam is,u r forgiven till you educate urslf more ;)",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Satan is allah who U follow. He dictates, as well as Mo, 2stone rape Kill in all ways, the dissenters of Ur cult",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",You should try reading AND comprehending what u read of ur precious devil worshipping book. Then toss it in trash,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",MUSLIMS are a waste of space and must be eliminated.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","am a true believer who respect all faiths, not judge any by few actions of extremists,like ignorants do",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",""" A Few "". You say??   You are the ignorant one.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",yes considering what happened in the past if you know any history it's few actions,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",1.2 billion followers of Islam. All intelligence fro around the world says that 15-25% of islam is radicalized.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",That's between 180-300 MILLION MOSLEMS. Where are the so called peaceful ones?? Where? I never see them protesting,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Bravo u got 1/4 the fact read more u'll find out that the other 75%,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Try educating yourself. U may learn something. Open ur eyes as they r closed 2ur cult &amp; actions of your brethren,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",I'm not going to waste my time on you. You are indoctrinated. Try this If ur brave enough.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","u don't see the peaceful ones coz u r blinded by the few bad ones, why don't u open yr eyes &amp; mind?",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",I don't see the PEACEFUL MOSLEMS because they hide. Show me ONE protest of MOSLEMS against the hijacking of Islam,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Ms either shine and missed it!,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","it isn't a hijacking of Islam, that IS Islam.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",A FEW bad ones?,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",True,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",lol. That's what I said!!,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",You are all aware that terrorists do not share the same beliefs as ALL Islamists?,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Do you know about Islam, or do you just think I do not know about Islam?",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",I can give you chapter-and-verse on Islam AND terrorism. Don't waste my time.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Me to! 👍,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Sounds ignorant when you say ""THEY are all barbarians."" Always room to learn more",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",YOU sound ignorant as HELL. You are wasting my time with your bullshit. BYE.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",ALL islamists are terrorists or back them.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","If that is her pic, I more than twice her age. Waste of time.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Muslims are peaceful, not islamists.",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Um, what is a Moslem?",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",I like to differentiate the two. That is how I do it.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Sign of under education to behave like this during discussion. .Pleasant eve to u,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","STFU, CHILD! Pompous AND stupid! You don't know me or anything about me. STFU",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",That does not make it true.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",that's your differentiation. . But anyway. Read and you'll learn.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Read what?,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","I HAVE BEEN READING FOR THIRTY-SIX FUCKING YEARS, CHILD! TAKE...",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Are you drunk?,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",...YOUR UNEDUCATED ARROGANT YOUNG ASS OUT OF HERE. I am 53. GO AWAY.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",I know your experiences are different than mine.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt","Baby-cakes, when you get blown to bits by a damned pressure cooker don't call me",rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Blocked.,rumours,122
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",Don't give me relativity bullshit. Reality is REALITY.,rumours,122
