tweet_text,compound_pos_ratio,compound_neu_ratio,compound_neg_ratio,compound_mean,max_compound_score,min_compound_score,median_compound_score,var,avg_pos_score,avg_neu_score,avg_neg_score,reaction_tweet_amount,tweet_type
This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,0.250,0.250,0.500,0.38546250000000004,0.8305,-0.6935,0.41395000000000004,0.07937786734375,0.098,0.775,0.127,8,non-rumours
Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,0.250,0.450,0.300,0.281215,0.7115,-0.8402,0.1531,0.09960613527500002,0.070,0.834,0.096,20,non-rumours
"For those saying we don't yet know who's responsible for #CharlieHebdo killings, yes, you're right, it was probably fundamentalist atheists.",0.276,0.379,0.345,0.2689103448275862,0.8228,-0.7997,0.25,0.07059829678953627,0.119,0.789,0.092,29,non-rumours
"Anybody who wants to talk about what Charlie Hebdo might have done to ""provoke"" this should probably shut up, forever.",0.500,0.000,0.500,0.5482166666666667,0.6597,-0.7717,0.601,0.0388988413888889,0.193,0.620,0.187,6,non-rumours
Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.,0.333,0.111,0.556,0.4974222222222222,0.7425,-0.8122,0.6369,0.06462838950617283,0.144,0.639,0.217,18,non-rumours
The Guardian has live coverage of the Paris shooting at Charlie Hebdo  http://t.co/M27vO7xFIk,0.280,0.320,0.400,0.40517600000000004,0.7823,-0.9422,0.4588,0.10526143702399998,0.074,0.800,0.126,25,non-rumours
Appalled to hear news of apparent terrorist attack in Paris. My thoughts are with the family and friends of those killed.,0.217,0.217,0.565,0.39769565217391306,0.6871,-0.8271,0.3724,0.08629864911153119,0.094,0.708,0.198,23,non-rumours
in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt,0.000,0.500,0.500,0.27815,0.0,-0.5563,0.27815,0.0773674225,0.000,0.791,0.209,2,non-rumours
"#Freespeech is a non-negotiable human right. We condemn the appalling attack on Charlie Hebdo, and any attempt to silence the free press.",1.000,0.000,0.000,0.296,0.296,0.296,0.296,0.0,0.167,0.833,0.000,1,non-rumours
"I'm uneasy with the portrayal of Charlie Hebdo as magazine that ""provokes"". No, it publishes cartoons. People choose how they react to that.",0.300,0.400,0.300,0.280025,0.6369,-0.9169,0.2732,0.07722696187500001,0.121,0.792,0.087,20,non-rumours
Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,0.125,0.438,0.438,0.28631874999999996,0.628,-0.7964,0.29055000000000003,0.08204309152343751,0.060,0.820,0.119,16,non-rumours
"Paris on maximum alert after #CharlieHebdo attack, officials say as President Hollande arrives at scene http://t.co/MmxR2nmi5R",0.444,0.222,0.333,0.3416944444444445,0.7712,-0.6231,0.36860000000000004,0.06517895830246914,0.200,0.711,0.089,18,non-rumours
Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,0.286,0.286,0.429,0.41685,0.7712,-0.9134,0.3715,0.10823144107142857,0.097,0.740,0.162,14,non-rumours
"'...but I will to the death defend your right to say it'.

#charliehebdo
#voltaire http://t.co/oFEHT8Xx3v",0.200,0.250,0.550,0.38623500000000005,0.7096,-0.7469,0.39185,0.08522815227500001,0.087,0.780,0.133,20,non-rumours
VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S,0.250,0.250,0.500,0.3885,0.3182,-0.6935,0.43025,0.068138445,0.074,0.737,0.189,4,non-rumours
It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh,0.391,0.391,0.217,0.338195652173913,0.8473,-0.7737,0.3875,0.09310171780718336,0.163,0.772,0.064,23,non-rumours
French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS,0.143,0.286,0.571,0.41374285714285713,0.4019,-0.8602,0.4588,0.08739683959183672,0.040,0.804,0.156,7,non-rumours
DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8,0.500,0.000,0.500,0.62835,0.296,-0.9607,0.62835,0.11045652250000002,0.119,0.613,0.268,2,non-rumours
Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0,0.421,0.105,0.474,0.4682052631578946,0.8439,-0.836,0.5267,0.07578829734072022,0.193,0.661,0.145,19,non-rumours
"We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims.",0.176,0.235,0.588,0.3828617647058823,0.8689,-0.8885,0.40035,0.09031994294982698,0.080,0.744,0.176,34,non-rumours
Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0,0.267,0.267,0.467,0.46163999999999994,0.807,-0.8689,0.5991500000000001,0.09474056373333332,0.140,0.676,0.184,30,non-rumours
#CharlieHebdo: Love is stronger than hate. http://t.co/23KHz2OsH3,0.250,0.312,0.438,0.36700000000000005,0.7076,-0.8176,0.44,0.08019487875,0.179,0.608,0.214,16,non-rumours
#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc,0.000,0.333,0.667,0.42966666666666664,0.0,-0.8316,0.4574,0.11564432888888888,0.054,0.666,0.280,3,non-rumours
Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen. http://t.co/XVkPPbkLhn,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
TREND IT #IStandWithFrance http://t.co/7M7PwFJnkz,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
BREAKING: Astonishing video of the Paris terror attack as it was happening &gt; http://t.co/sglPyWCWhL (via @BBCDanielS ) #CharlieHebdo,0.300,0.150,0.550,0.424615,0.658,-0.8807,0.42115,0.073022348275,0.083,0.698,0.219,20,non-rumours
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,0.406,0.208,0.386,0.4001751677852348,0.9635,-0.9508,0.4404,0.08420009602765632,0.136,0.738,0.126,298,non-rumours
Video of #terrorists attacking Charlie Hebdo HQ in Paris http://t.co/SdniwkJtT1 http://t.co/z6O8IhNjCk,0.143,0.571,0.286,0.2818142857142857,0.4019,-0.7925,0.0,0.11991367265306122,0.088,0.795,0.117,7,non-rumours
"Six days after Charlie Hebdo’s offices were firebombed, their front cover was this. “Love is stronger than hate.” http://t.co/7YInU4Cc00",0.192,0.346,0.462,0.3378153846153846,0.7263,-0.9022,0.2909,0.10186527822485208,0.113,0.716,0.171,26,non-rumours
Shocked &amp; appalled by senseless attack at 'Charlie Hebdo' - London stands with Paris &amp; the people of France against this horrific scourge,0.250,0.250,0.500,0.39646875,0.8331,-0.6597,0.4019,0.07108103214843749,0.172,0.661,0.168,16,non-rumours
BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo. http://t.co/ak9mTVfJdR,0.286,0.143,0.571,0.35572857142857145,0.6369,-0.6131,0.489,0.06455091918367348,0.096,0.685,0.219,7,non-rumours
"Charlie Hebdo, we love you",0.833,0.167,0.000,0.4707666666666666,0.802,0.0,0.48629999999999995,0.08421596555555555,0.308,0.657,0.036,6,non-rumours
"I don't support the cartoons or language published by publishers BUT #CharlieHebdo attack is indeed ""sickening"". 11 dead in #terrorattack",0.389,0.000,0.611,0.4610777777777778,0.69,-0.8573,0.47485,0.06056038283950617,0.092,0.708,0.200,18,non-rumours
Freedom of expression should never be an act of bravery. Whoever threatens it is an enemy of all freedom-loving people. #CharlieHebdo,0.250,0.143,0.607,0.5390964285714286,0.9052,-0.9477,0.66395,0.10272709891581633,0.118,0.684,0.198,28,non-rumours
Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer. http://t.co/YGscPqvtYM,0.250,0.250,0.500,0.37435,0.2415,-0.631,0.43320000000000003,0.0716078925,0.080,0.743,0.178,4,non-rumours
France raises national alert system to highest level after attack at Charlie Hebdo HQ http://t.co/TyRyAhzSPP http://t.co/cWYQCmwg0z,0.222,0.389,0.389,0.27264444444444447,0.676,-0.5829,0.3071,0.06047932024691359,0.062,0.850,0.088,18,non-rumours
"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/Mbn5SiWA7Z",0.333,0.444,0.222,0.2939,0.7637,-0.5423,0.2617,0.08462026444444445,0.166,0.683,0.151,9,non-rumours
"""100 lashes if you don't die of laughter."" Eleven people killed over this. #Paris #CharlieHebdo http://t.co/87cB3mWVAQ",0.222,0.444,0.333,0.27995555555555557,0.4404,-0.8271,0.2732,0.08174064469135804,0.088,0.812,0.101,9,non-rumours
How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this. http://t.co/sC2ot63F6j,0.393,0.286,0.321,0.287225,0.6239,-0.6808,0.28145,0.05419583116071428,0.107,0.787,0.106,28,non-rumours
There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo http://t.co/RhBpC5Iwh9,0.300,0.100,0.600,0.39715000000000006,0.7351,-0.7506,0.34704999999999997,0.0686800365,0.139,0.680,0.181,10,non-rumours
"Worth remembering Jens Stoltenberg's words after Utøya: ""Our response is more democracy, more openness and more humanity"" #CharlieHebdo",0.455,0.273,0.273,0.3784909090909091,0.6428,-0.9508,0.4463,0.09236717900826447,0.157,0.747,0.096,11,non-rumours
#CharlieHebdo Attack. I have just been asked by AlJazeera if CharlieHebdo journalists should apologize (for making fun at Islamists).,0.154,0.231,0.615,0.3762730769230769,0.6486,-0.8885,0.43265,0.07804911658284022,0.083,0.698,0.219,26,non-rumours
LATEST: At least 11 dead in shooting at French magazine #CharlieHebdo; France raises terror alert to highest level http://t.co/JVRjF5b1lw,0.361,0.278,0.361,0.3595638888888889,0.8543,-0.8225,0.39185,0.08385068230709877,0.151,0.726,0.124,36,non-rumours
#France has a problem (and quite a serious one) #CharlieHebdo http://t.co/H15l2ARF3d,0.444,0.333,0.222,0.27013333333333334,0.7133,-0.4005,0.296,0.054520280000000004,0.152,0.740,0.108,9,non-rumours
Masked gunmen pictured near #CharlieHebdo offices http://t.co/Zvfj25EnEc http://t.co/qTWhoLqICk,0.182,0.545,0.273,0.2627181818181818,0.4648,-0.8979,0.0,0.11716856694214876,0.029,0.882,0.089,11,non-rumours
Fact: Most every journalist in India will stand with #CharlieHebdo. But not one publication will reprint their most controversial work.,0.394,0.303,0.303,0.34603333333333336,0.936,-0.6868,0.3612,0.09217857919191919,0.126,0.804,0.069,33,non-rumours
"We condemn the attack on #CharlieHebdo Whomever the attackers are, and whatever the cause may be, nothing justifies the taking of life",0.350,0.200,0.450,0.434335,0.6966,-0.9147,0.4767,0.087666935275,0.131,0.744,0.125,20,non-rumours
The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers http://t.co/QeDw4tRoK9,0.281,0.188,0.531,0.4490625000000001,0.8955,-0.9497,0.51435,0.09424551328124996,0.161,0.639,0.200,64,non-rumours
"The 2011 issue of Charlie Hebdo, whose cover featured Mohammed. http://t.co/eSflYdFBRH",0.321,0.250,0.429,0.35421428571428576,0.7717,-0.872,0.39759999999999995,0.07235908336734695,0.101,0.780,0.120,28,non-rumours
Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris http://t.co/5AZAKumpNd http://t.co/ECFYztMVk9,0.353,0.176,0.471,0.4667176470588235,0.7579,-0.9171,0.4215,0.07921762615916957,0.174,0.681,0.145,17,non-rumours
"Quran says: Whoever kills an innocent soul.. it is as if they had killed the entire humanity.
#CharlieHebdo #Paris http://t.co/UinZ805MpA",0.280,0.258,0.462,0.4042612903225805,0.9297,-0.9403,0.4019,0.10052292022199098,0.109,0.729,0.163,93,non-rumours
"Showing solidarity with the victims is necessary, but not enough. We must insist to coexist, and reject those who don't. #CharlieHebdo",0.353,0.235,0.412,0.33530000000000004,0.6767,-0.7469,0.34,0.06123783411764706,0.058,0.855,0.087,17,non-rumours
Video has emerged showing the moment gunmen opened fire at #CharlieHebdo's HQ in Paris. http://t.co/ZRSbE9Fc1L http://t.co/tE7KwlhuSN,0.286,0.214,0.500,0.5267785714285714,0.8217,-0.8126,0.65935,0.09464167596938775,0.125,0.686,0.189,14,non-rumours
"Parisian doctor: ""Let's all subscribe to #CharlieHebdo...It'll be in my waiting room until I retire."" via @bourmeau http://t.co/3IjTQCk3o7",0.500,0.333,0.167,0.2803833333333333,0.7424,-0.4404,0.24975,0.06654516138888887,0.252,0.699,0.049,6,non-rumours
I wish that all news outlets publish #CharlieHebdo 's cartoons/satire tomorrow on their front pages as a tribute to the dead. RIP,0.273,0.455,0.273,0.24428181818181818,0.7351,-0.4767,0.128,0.0673514505785124,0.140,0.758,0.102,11,non-rumours
"Forget truth, today even satire is unacceptable.
#CharlieHebdo",0.286,0.143,0.571,0.4643428571428572,0.7475,-0.886,0.4939,0.09363022530612244,0.195,0.657,0.149,7,non-rumours
"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/5fzKhE1LdJ",0.400,0.400,0.200,0.20165000000000002,0.5446,-0.3612,0.17379999999999998,0.040269498500000014,0.072,0.884,0.044,10,non-rumours
Freedom of speech is a right as much as a cause worth fighting for. Obscurantism is a danger made real today #CharlieHebdo,0.000,0.000,1.000,0.3736,-0.3736,-0.3736,0.3736,0.0,0.118,0.676,0.206,1,non-rumours
"In reporting the story, the Telegraph has pixilated Charlie Hebdo's La Vie De Mahomet: http://t.co/ElhnzUNr0A http://t.co/jdHLcQBtfp",0.296,0.259,0.444,0.3538148148148148,0.743,-0.8547,0.3818,0.08652073829903978,0.121,0.643,0.236,27,non-rumours
Headline from #CharlieHebdo this week: ISIS executes Phorphet Mohamed; police chase terrorists http://t.co/4qqVIjLP8A http://t.co/1zJuiZVLf3,0.500,0.200,0.300,0.30937,0.6124,-0.4019,0.3609,0.044950552100000006,0.164,0.751,0.084,10,non-rumours
"Bad bad day for press freedom, freedom of expression and satire. 
Thoughts with relatives of victims at #CharlieHebdo",0.250,0.375,0.375,0.24263749999999998,0.2263,-0.7906,0.16515000000000002,0.06975078234375001,0.136,0.576,0.288,8,non-rumours
"I've seen one national newspaper pixelate out the cover of Charlie Hebdo - the self-censorship begins. Terrorists 1, Enlightenment 0",0.283,0.174,0.543,0.38804565217391307,0.6371,-0.8875,0.37,0.07157622378544426,0.126,0.689,0.185,46,non-rumours
From 2011: France's Charlie Hebdo newspaper has long reveled in the art of provocation http://t.co/etWcBzHpnl,0.500,0.167,0.333,0.43484444444444453,0.7482,-0.7708,0.47550000000000003,0.0610264424691358,0.209,0.656,0.135,18,non-rumours
Time to #TakeAStand #IAmCharlieHebdo #CharlieHebdo http://t.co/V9ZUa4VRJy,0.261,0.391,0.348,0.27334347826086963,0.7579,-0.7579,0.1613,0.07918432854442344,0.078,0.836,0.085,23,non-rumours
"I'm no fan of #charliehebdo but this is a sickening, terrifying, unjustifiable attack on journalists. My thoughts &amp; prayers with the victims",0.190,0.333,0.476,0.3430380952380952,0.5232,-0.7998,0.4404,0.08182381092970523,0.089,0.774,0.137,21,non-rumours
"Between governrment attacks and terrorist attacks, it's hard to be a journalist these days. #Charlie #hebdo",0.500,0.167,0.333,0.3490166666666667,0.5859,-0.296,0.35875,0.035416504722222214,0.239,0.652,0.109,6,non-rumours
Wide and uncompromising condemnations on Arab Twitter of insane attack on #CharlieHebdo - I hope everyone sees this. Don't focus on fools.,0.273,0.273,0.455,0.4052454545454545,0.5563,-0.8519,0.539,0.0867811661157025,0.174,0.640,0.186,11,non-rumours
I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance. http://t.co/Mc2aOwSHYA,0.308,0.462,0.231,0.30726923076923074,0.8576,-0.8225,0.128,0.10692920674556214,0.231,0.664,0.105,13,non-rumours
Condolences to staff at Charlie Hebdo &amp; their loved ones. They stood for free speech &amp; paid with their lives.  I stand with #CharlieHebdo,0.258,0.226,0.516,0.40348387096774185,0.8002,-0.91,0.4404,0.08060262006243496,0.106,0.725,0.169,31,non-rumours
Utterly disgusting. @AlJazeera blaming free speech and Berlin protests for attack on #CharlieHebdo,0.550,0.250,0.200,0.31386500000000006,0.7579,-0.6166,0.36885,0.052742574274999995,0.151,0.778,0.071,20,non-rumours
What we know about the gunmen in the #CharlieHebdo attack: http://t.co/z4xLMmeDl5 (Pic: Gelbard/AFP/Getty) http://t.co/KKtg9fGeba,0.347,0.204,0.449,0.4193163265306123,0.8564,-0.8807,0.4753,0.07544123769262806,0.123,0.737,0.140,49,non-rumours
"Sirens on my Paris street. Poor Charlie Hebdo, poor families, poor kids who live here, poor local muslims who will get blame, poor Paris",0.286,0.143,0.571,0.38295714285714294,0.6771,-0.8126,0.4404,0.058679200544217686,0.104,0.709,0.187,21,non-rumours
The attack on #CharlieHebdo is cowardly and senseless.. As a Muslim I am outraged by what happened today. Prayers to the families,0.250,0.208,0.542,0.4147708333333333,0.6428,-0.8074,0.4417,0.07815499206597222,0.149,0.654,0.197,24,non-rumours
Never was it more appropriate to say “F*** ‘em if they can’t take a joke”. Charlie Hebdo an absolute equal opportunity offender of satire.,0.370,0.185,0.444,0.31955925925925927,0.7479,-0.6705,0.3595,0.057330726117969806,0.127,0.747,0.126,27,non-rumours
Good backgrounder from The New Yorker from 2012: The Charlie Hebdo Affair: Laughing at Blasphemy http://t.co/LDwDceoxFg,0.000,0.000,1.000,0.8519,-0.8519,-0.8519,0.8519,0.0,0.089,0.468,0.443,1,non-rumours
"#CharlieHebdo Satire was the father of true political freedom, born in the 18th century; the scourge of bigots and tyrants. Sing its praises",0.361,0.250,0.389,0.3565027777777777,0.886,-0.8715,0.296,0.0942102919367284,0.156,0.709,0.135,36,non-rumours
"It is speculative, but judging by video &amp; imagery from scene of #CharlieHebdo attack, these gunmen are not amateurs - they look experienced.",0.263,0.474,0.263,0.26058947368421054,0.5983,-0.8062,0.1761,0.08338371988919667,0.056,0.853,0.091,19,non-rumours
"Journalists, admin staff and police officers among those injured in #CharlieHebdo attack http://t.co/cMsu4ASQjl http://t.co/zqkHLJK5b9",0.286,0.143,0.571,0.46253333333333335,0.7639,-0.9491,0.4767,0.07588656412698415,0.129,0.664,0.207,21,non-rumours
"RAW VIDEO (WARNING GRAPHIC):
Terror Attack on Charlie Hebdo Paris Headquarters:
https://t.co/QZo3WBXHfD via @NomaNescio 
#ParisShooting",0.192,0.269,0.538,0.36048076923076927,0.4404,-0.9017,0.29735,0.09203523386094675,0.061,0.751,0.188,26,non-rumours
"Killing writers and journalists and cartoonists will not silence them but make their voices louder.
#CharlieHebdo",0.167,0.167,0.667,0.36605,0.8122,-0.6705,0.3318,0.08963232916666668,0.119,0.780,0.101,6,non-rumours
Do not share the video of masked gunmen at #CharlieHebdo offices executing a police officer. It is barbaric &amp; his life should be respected.,0.267,0.267,0.467,0.3513866666666667,0.7901,-0.8794,0.3129,0.09664238648888887,0.144,0.706,0.150,15,non-rumours
Attempts to extend blame for this to all Muslims should be treated with the same disgust as attempts to justify the attacks. #CharlieHebdo,0.200,0.067,0.733,0.54756,0.8807,-0.9469,0.5719,0.06707107573333332,0.082,0.674,0.244,15,non-rumours
"#Picture
IS terrorist scum executes injured police man in #Paris.
#CharlieHebdo http://t.co/wov8G7GL0b",0.300,0.150,0.550,0.55163,0.8578,-0.923,0.67885,0.09859430109999999,0.091,0.685,0.223,20,non-rumours
Satirical French magazine #CharlieHebdo attacked by gunmen: latest news report http://t.co/gjTbTOQIMo http://t.co/IIKBOs2Puk,0.088,0.382,0.529,0.3074382352941177,0.7506,-0.8316,0.28275,0.08657610647923875,0.044,0.763,0.193,34,non-rumours
#CharlieHebdo: Nothing can justify attack &amp; those who organised &amp; committed these crimes should be brought to justice http://t.co/eoDTplTQll,0.200,0.000,0.800,0.63334,0.4926,-0.9521,0.4926,0.0506986264,0.164,0.563,0.274,5,non-rumours
"As a Muslim, killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo",0.251,0.227,0.522,0.4298713864306787,0.8957,-0.969,0.4767,0.09091787626090958,0.109,0.707,0.184,339,non-rumours
Oh God my heart is sick at this Charlie Hebdo news. One of the only brave newspapers in the world.,0.500,0.167,0.333,0.5173833333333333,0.7506,-0.8625,0.60475,0.07902160472222224,0.193,0.640,0.167,12,non-rumours
In sympathy and solidarity with @Charlie_Hebdo_  #CharlieHebdo http://t.co/W2CBdVJ0k6,0.444,0.222,0.333,0.3327666666666667,0.6369,-0.5267,0.3595,0.04362995555555556,0.178,0.670,0.152,9,non-rumours
"When an ideology resorts to murdering satirists, it is publically admitting how weak, insecure &amp; ridiculous it is. #CharlieHebdo",0.227,0.273,0.500,0.41252272727272726,0.6486,-0.875,0.45185,0.08595217357438019,0.077,0.774,0.149,22,non-rumours
Follow this list for journalists &amp; media outlets covering the attack on #CharlieHebdo magazine in Paris: http://t.co/6njHXoEbq4,0.300,0.300,0.400,0.43011,0.8504,-0.886,0.44620000000000004,0.10654040090000001,0.203,0.662,0.135,10,non-rumours
Lets play a game. This will be blamed on (a) Racism of Charlie Hebdo (b) Poverty (c) Colonial France (d) Evil of Free Speech,0.125,0.500,0.375,0.27196875,0.2732,-0.9118,0.05135,0.1114294871484375,0.041,0.823,0.136,16,non-rumours
"Even for a hardened news man, today's mass shooting at #CharlieHebdo is ferociously shocking - writes @JonSnowC4 http://t.co/AcIzmQcx0a",0.333,0.000,0.667,0.5226333333333334,0.4767,-0.5707,0.5205,0.0014749422222222214,0.158,0.702,0.139,3,non-rumours
